English sentence,Swahili Translation
This store closes at nine o'clock every night.,Duka hili hufunga saa tisa kila usiku.
They moved house in search of greater comfort and security.,Wakahamia nyumba wakitafuta faraja kubwa na usalama.
This singer is an idol of the youth.,Mwimbaji huyu ni sanamu ya ujana.
We bought ourselves a 27 foot travel trailer.,Tulijinunulia trela ya kusafiri kwa miguu 27.
Knowledge without common sense will lead you nowhere.,Maarifa bila akili hayatakufikisha popote.
The weather is really bad.,Hali ya hewa ni mbaya sana.
"Gosh, that Italian family at the next table sure is quiet.","Gosh, familia hiyo ya kiitalia kwenye meza inayofuata imekimya."
"I speak English and you, what language do you speak?","Mimi nazungumza Kiingereza na wewe, unazungumza lugha gani?"
Hit the ball after the bounce.,Piga mpira baada ya mdundo.
"You guys will be there, right?","Mutakuwepo hapo, sivyo?"
It's likely to rain tomorrow.,Huenda kesho mvua ikanyesha.
It's wrong to tell lies.,Si vizuri kusema uongo.
The box was nailed shut.,Sanduku lilifungiwa.
German banks are among Europe's most troubled.,Mabenki ya Ujerumani ni miongoni mwa ya Ulaya yenye shida zaidi.
Where did you get that sweater? At the Salvation Army or from the trash?,Je! Ulipata wapi sweta hiyo? Kwenye Jeshi la Wokovu au kutoka kwa takataka?
I received this electric knife as a gift.,Nilipokea kisu hiki cha umeme kama zawadi.
"He's a star in Germany, but completely unknown in America.","Yeye ni nyota nchini Ujerumani, lakini hajulikani kabisa Amerika."
"The whole village was dark and deserted. The stores were closed, the doors, the windows. In the streets, not even a dog could be seen. It seemed the Village of the Dead.","Kijiji kizima kilikuwa giza na mahame. Duka zilikuwa zimefungwa, milango na madirisha. Mitaani, hata mbwa hakuonekana. Ilionekana kama Kijiji cha Wafu."
"His beard was as black as pitch, and so long that it reached from his chin down to his feet.","Ndevu zake zilikuwa nyeusi kama shimo, na ndefu kiasi kwamba ilifikia kutoka kidevu chake hadi miguu yake."
"""Who are you?"" he asked. ""I am the ghost of the Talking Cricket,"" answered the little being in a faint voice that sounded as if it came from a far-away world.","""Wewe ni nani?"" Aliuliza. ""Mimi ni mzuka wa Talking Cricket,"" akajibu yule mtu kwa sauti dhaifu ambayo ilisikika kana kwamba inatoka kwa ulimwengu wa mbali."
Suddenly a huge wave came and the boat disappeared.,Ghafla wimbi kubwa likaja na mashua ikatoweka.
She wore a pink belt that was as ugly as it was expensive.,Alivaa ukanda wa pinki ambao ulikuwa bovu kama ulivyo ghali.
Mr. Cameron forgot his daughter at the pub.,Bwana Cameron alimsahau binti yake kwenye baa.
"In the Land of Toys, every day, except Sunday, is a Saturday. Vacation begins on the first of January and ends on the last day of December.","Katika ulimwengu wa Toys, kila siku, isipokuwa Jumapili, ni Jumamosi. Likizo huanza tarehe ya kwanza ya Januari na kuishia siku ya mwisho ya Desemba."
"When bad boys become good and kind, they have the power of making their homes gay and new with happiness.","Wakati vijana wabaya wanakuwa wazuri na wakarimu, wanauwezo wa kufanya nyumba ichangamke na iwe mpya kwa furaha."
Nothing can travel faster than the speed of light in a vacuum.,Hakuna kitu kinachoweza kusafiri kwa kasi kuliko kasi ya taa kwenye utupu.
Did he get here last term?,Alifika hapa muhula uliopita?
"When any pretty maiden came near the castle, she was changed into a bird, and the fairy put her into a cage, and hung her up in a chamber in the castle.","Mtumishi yeyote mrembo alipokuja karibu na kasri, alibadilishwa kuwa ndege, na kumtia vizuri ngomeni, na akamfunga kwenye chumba ndani ya kasri."
Jerusalem is the Holy City of the Jews.,Yerusalemu ni Mji Mtakatifu wa Wayahudi.
Would you mind giving me your chocolate cake recipe?,"Je, unaweza kunipa mwongozo wako wa kupika keki ya chokoleti?"
She was my sole source of happiness.,Alikuwa chanzo changu cha furaha cha kipekee.
"For centuries, foreign language teaching focused on reading and writing.","Kwa karne, ufundishaji wa lugha ya kigeni ililenga kusoma na kuandika."
Dad uses fire to roast a chicken.,Baba anatumia moto kuchoma kuku.
"He'd used the dirty brush to paint the wall green, and he did not clean it afterwards.","Alitumia brashi chafu kupaka rangi ya kijani kibichi, na hakuisafisha baadaye."
"The country house was complete, with a swimming pool, a barbecue, a soccer field and a pool table.","Nyumba ya mashambani ilijumuishwa pamoja na bwawa la kuogelea, sehemu ya kuchoma nyama, uwanja wa mpira na meza ya mchezo wa pool."
Solar energy does not threaten the environment.,Nishati ya jua haitishi mazingira.
Did you charge the battery of your mobile phone?,Uliweka chaji betri ya simu yako ya simu ya mkono?
I took my boots off because my feet were freezing.,Niliondoa buti zangu kwa sababu miguu yangu ilikuwa na baridi.
"The brain is the center of every mind, soul, and muscle energy.","Ubongo ndio kitovu cha kila akili, roho, na nguvu ya misuli."
Can you recommend a good story where a handsome prince and an ordinary girl fall in love?,Unaweza kupendekeza hadithi nzuri ambapo mfalme na msichana wa kawaida wamependana?
Steel is a widely-used material in civil construction.,Chuma ni zana inayotumiwa sana katika ujenzi.
That's a lame excuse for giving up the work.,Hicho ni kisingizio cha kuacha kazi.
Riding a bike that doesn't have brakes is a pretty stupid thing to do.,Kuendesha baiskeli ambayo haina breki ni jambo la kijinga kufanya.
"A horse walks into a bar. The bartender asks, ""Why such a long face?""","Farasi anatembea ndani ya baa. Bartender anauliza, ""Kwa nini umekasirika?"""
She's more beautiful than me.,Ni mrembo kuniliko.
The vampire is sucking my blood.,Mnyonya damu ananyonya damu yangu.
This programme is not suitable for your age group.,Programu hii haifai kwa rika lako.
He loves science fiction.,Anapenda bunilizi ya sayansi.
"Wearing a suit doesn't turn you into a mature, responsible member of society.",Kuvaa suti haikugeuzli kuwa mwanajamii aliyekomaa na anayewajibika.
It's summer all year round when I'm with you.,Ni majira ya joto kila mwaka ninapokuwa nawe.
His parents live in the main county town.,Wazazi wake wanaishi katika mji wa kaunti kuu.
My father took me to the movies last night.,Baba yangu alinipeleka kwenye sinema jana usiku.
"The guests won't arrive for an hour. In the meantime, we can set the table.","Wageni hawatafika kwa saa moja. Kwa sasa, tunaweza kuandaa meza."
"Recently, I've been waking up several times during the night, so I'm suffering somewhat from lack of sleep.","Hivi majuzi, nimekuwa nikiamka mara kadhaa wakati wa usiku, kwa hivyo ninaugua kukosa usingizi."
Heather loves the way she lives her life.,Heather anapenda jinsi anaishi maisha yake.
"Add the powder, stir it, and Bob's your uncle.","Ongeza poda, koroga, na Bob mjomba wako."
I like fish more than meat.,Napenda samaki kuliko nyama.
For your bed itself cries out that you aren't letting yourself throw the nights away in vain.,Kwa kitanda chako chenyewe hulilia kwamba haujiachilii kutupa usiku bure.
He spoke only to the chief of police and not to the policeman.,Alimsemesha tu mkuu wa polisi na wala sio polisi.
The fence is part wood and part stone.,Sehemu fulani ya fensi in kuni na nyingine ni jiwe.
It is dangerous to lean out.,Ni hatari kutegemea nje.
"Despite our bad luck, we had one bit of good luck: we had performed a full backup the day before.","Licha ya bahati yetu mbaya, tulikuwa na bahati nzuri moja: tulikuwa tulisasisha kamili siku iliyopita."
"""Mom, you need to sign this."" ""Let me read it."" ""No, it's okay. You don't have to.""","Mama, unahitaji kutia sahihi. Wacha niisome. La, ni sawa. Hulazimiki."
Nothing gives an artist as much strength as the knowledge that there is at least one person who views his creation with great love.,Hakuna kinachompa msanii nguvu nyingi kama ufahamu kwamba kuna mtu angalau mmoja anayeona uumbaji wake kwa upendo mkubwa.
Nothing gives an artist as much strength as the knowledge that there is at least one person who loves deeply what he has created.,Hakuna kinachompa msanii nguvu nyingi kama ufahamu kwamba kuna mtu angalau mmoja ambaye anapenda sana kile ameunda.
The United States Congress makes the laws.,Bunge la Amerika huunda sheria.
"My grandfather was a pirate, a treasure hunter.","Babu yangu alikuwa haramia yaani, mwindaji wa hazina."
"What the heck, I'll do it! When shall I start?","Kwani kuna nini, nitaifanya! Nitaanza lini?"
"Ha ha ha, very funny.","Ha ha ha, ya inachekesha sana."
Blessed are the poor in spirit: for theirs is the kingdom of heaven.,"""Heri walio maskini rohoni, maana ufalme wa mbinguni ni wao."
Not many things are more pathetic than an arrogant fool.,Hakuna kitu kibaya zaidi kuliko mpumbavu aliye na kiburi.
The crow was a sacred animal.,Kunguru alikuwa mnyama takatifu.
I wouldn't use a washing machine whose switch isn't completely in order.,Niwezi kutumia mashine ya kufua iliyo na swichi mbovu.
"If you don't have a safety pin, a straight pin will have to do.","Ikiwa hauna pini ya usalama, pini ya moja kwa moja itatumika."
Spying between friends is an absolute no no.,Upekuzi kati ya marafiki ni kamwe hapana.
"There are many ancient cities in Italy, Rome and Venice for example.","Kuna miji mingi ya zamani nchini Italia, Roma na Venice kwa mfano."
"If you swallow a dangerous substance, it depends on the substance which measures need to be taken.","Ikiwa unameza kitu hatari, hatua zinakazochukuliwa zinategemea hicho kitu."
It matters little if the cat is white or black; the important thing is that it chase rats.,Haijalishi ikiwa paka ni mweupe au mweusi; jambo muhimu ni kwamba ni anafukuza panya.
They're lighting the candle and asking the great kind God for happiness.,Wanawasha mshumaa na kumuuliza Mwenyezi Mungu aliye Mwema awape raha.
Men are only heroes when they can't avoid acting otherwise.,Wanaume ni mashujaa tu wakati hawawezi kuzuia kufanya vingine.
"We lack wings, but we still have enough strength to fall.","Tunakosa mabawa, lakini bado tuna nguvu ya kutosha kuanguka."
She's a bus driver.,Yeye ni dereva wa busi.
"Emily's staying in her elder sister's house, because her parents went to the United States for a couple of weeks.","Emily anaishi katika nyumba ya dada yake mkubwa, kwa sababu wazazi wake walienda Amerika kwa wiki chache."
"When two souls... two hearts are meant for each other, the distance between them turns out to be just a detail. It's all about the ability to wait.","Wakati roho mbili ... mioyo miwili imekusudiwa kuwa pamoja, umbali kati yao ni maelezo tu. Yote inahusu uwezo wa kusubiri."
The serial killer was a slave to his desires.,Muuaji sugu alikuwa mtumwa wa tamaa zake.
I was going to work when John saw me.,Nilikuwa naelekea kazini wakati John aliponiona.
She has hope.,Anaimani.
This acid is extremely important in the industry and the laboratory.,Asidi hii ni muhimu sana katika sekta na maabara.
She knew me.,Alinijua.
"You will discuss it, won't you?","Utalijadili, sivyo?"
That's all we can do for now.,Hayo ndio tunayoweza kufanya kwa sasa.
You caught nothing.,Hukupata chochote.
Make a hole in the bone with a drill.,Shimba shimo kwenye mfupa kutumia tarimbo.
"""From the back through the chest in the eye"" - so you can describe their procedure, because it is not possible to imagine a more complicated way to write a program.","""Kutoka nyuma kupitia kifua hadi kwa jicho"" - kwa hivyo unaweza kuelezea utaratibu wao, kwa sababu haiwezekani kufikiria njia ngumu zaidi ya kuandika mpango."
I don't like to make bets.,Sipendi kubeti.
I watched the birds on the balcony while drinking my coffee.,Niliwatazama ndege nikinywa kahawa kwenye roshani.
The United States officially declared a state of emergency.,Marekani ilitangaza rasmi hali ya dharura.
"This man's wealth is big, but his madness is even bigger.","Utajiri wa mtu huyu ni mkubwa, lakini wazimu wake ni mkubwaz zaidi."
The father went fishing.,Baba alienda kuvua samaki
Keep out of sight.,Ficha isionekane.
"Please bid farewell, my Lady, to your husband.","Tafadhali mpe mumeo, heri zangu njema."
"Romeo loved Juliet more than he thought he did, and could not cope with losing her.","Romeo alimpenda sana Juliet kuliko vile alivyofikiria, na hakuweza kuvumilia kumpoteza."
"If most of us remain ignorant of ourselves, it is because self-knowledge is painful and we prefer the pleasure of illusion.","Ikiwa wengi wetu tutabaki bila kujijua, ni kwa sababu kujijua ni chungu na tunapendelea raha ya udanganyifu."
I assure you that I'm completely content with my own brain.,Nakuhakikishia kwamba nimeridhika kabisa na ubongo wangu mwenyewe.
The train stopped at a point halfway between the two stations.,Treni ilisimama katikati baina ya vituo hivyo viwili.
That's not going to be easy.,Hiyo haitakuwa rahisi.
Return and tell your king how the gods fought to our favor.,Rudi na umwambie mfalme wako jinsi miungu walipigania kwa neema yetu.
I don't enjoy eating ice cream during the winter.,Sifurahii kula aiskrimu wakati wa majira ya baridi.
They will not accept any excuses for not joining the meeting.,Hawatakubali udhuru wowote wa kutofika mkutanoni.
You're really pretty too.,Unapendeza sana pia.
"Hello, son. I trust you're healing well.","Hujambo, mwanangu. Ninatumai unaendelea kupona."
"Gee, it sure is boring around here!","Gee, ni hakika hapa hapafurahishi!"
"I once read a sweet poem about an empty pot... Unfortunately, I forgot it.","Niliwahi kusoma shairi tamu kuhusu mtungi mtupu... Kwa bahati mbaya, niliisahau."
"Nevertheless, I think such a kind of society needs this sort of business to set the economy in motion.","Hata hivyo, nadhani jamii kama hii inahitaji biashara ya aina hii kuelekeza uchumi."
The possibility of a lack of connection between the events can be dismissed immediately.,Uwezo wa ukosefu wa uhusiano kati ya hafla zinaweza kufutiliwa mbali mara moja.
She wanted to help her friends.,Alitaka kusaidia marafiki wake.
Whoever comes to us armed with a sword is easier to kill with a shot.,Yeyote anayekuja kwetu akiwa na upanga ni rahisi kumuua kwa risasi.
